"","run","predBiomass","herbBiomass","invBiomass","pred5Biomass","herb5Biomass","predProd","herbProd","invProd","fpredProd","fherbProd","totProd","totfProd","totBiomass","tot5Biomass","shape"
"1",1,96.7574023315558,29.7241144622513,10.9210814383518,96.3403839650854,29.4047419837323,34.9856962707085,10.9000068478129,166.209906972171,29.0401340545919,8.8851407736153,45.8857031185213,37.9252748282072,126.481516793807,125.745125948818,"all_big"
"2",2,100.512294557325,41.2436308420157,13.4235050497308,100.0863929011,40.9576018268552,56.6762461228918,10.9000000000022,212.601270295897,49.0449373842069,9.23051570922044,67.576246122894,58.2754530934273,141.75592539934,141.043994727955,"some_big"
"3",3,105.634844728584,28.3349530976521,17.6260553852781,105.223674965609,28.0194593399474,100.528983342974,10.9000000087379,306.068316428024,90.696525209727,8.70253108243768,111.428983351712,99.3990562921647,133.969797826236,133.243134305557,"all_small"
"4",4,104.516217797882,27.4809274102163,17.7049282502436,104.10400332734,27.1605648184538,101.346781282151,10.9000000952372,307.794975376965,91.4468127788526,8.64184721177968,112.246781377388,100.088659990632,131.997145208098,131.264568145794,"all_small"
"5",5,103.908029203761,26.5567474681932,17.9131675738142,103.495415258084,26.2320857258127,103.600893079282,10.8999999978788,312.590272778113,93.5734914826151,8.58090749591499,114.500893077161,102.15439897853,130.464776671955,129.727500983896,"all_small"
"6",6,92.9773056572308,28.2202820213158,16.5907774549744,92.5336502603074,27.8736780840427,86.4096729340526,10.8999999991624,275.828008776521,76.4949973755523,8.49570677742917,97.3096729332151,84.9907041529815,121.197587678547,120.40732834435,"all_small"
"7",7,82.1380536008386,34.6509306311103,13.6836565380868,81.6589865356183,34.2957403911464,55.9888829684324,10.8999999999982,210.896943046054,47.3036454180591,8.63943400574755,66.8888829684306,55.9430794238067,116.788984231949,115.954726926765,"some_big"
"8",8,85.2572044545023,27.8287420523727,16.0327329857756,84.78977181647,27.4572863393264,78.7062934052455,10.9000000001837,259.318993312715,68.6745192451326,8.31570748024195,89.6062934054292,76.9902267253745,113.085946506875,112.247058155796,"all_small"
"9",9,90.6579664673304,50.8915425856028,10.7929188130453,90.1286107549696,50.5551163219816,26.3144618136377,10.9000000006055,147.845709560447,19.7500298970686,9.28163650427615,37.2144618142432,29.0316664013448,141.549509052933,140.683727076951,"all_big"
"10",10,91.6928738095989,45.2206534658208,12.8126190233728,91.170403220806,44.8605815009345,42.7991251618213,10.9000000004585,182.94713134839,34.9054534319729,9.0065719688544,53.6991251622798,43.9120254008273,136.91352727542,136.03098472174,"all_big"
"11",11,102.906091323068,43.1484833444036,14.4079792476631,102.394737719433,42.7808789560752,55.8240055385467,10.9000000000219,210.819284578568,47.2874985074,8.93816289221145,66.7240055385685,56.2256613996115,146.054574667472,145.175616675509,"all_big"
"12",12,94.787971341727,39.7397750554245,13.2226658765939,94.2451896713611,39.335123082525,44.4019293492324,10.8999999999999,186.347908821189,36.1872028626944,8.68937716495227,55.3019293492323,44.8765800276467,134.527746397151,133.580312753886,"all_big"
"13",13,92.029959041469,39.2287930625946,14.2213451146313,91.5010106620455,38.8273005288794,53.4713474224174,10.8999999999998,205.6559085875,44.8924533026806,8.68242282651017,64.3713474224173,53.5748761291908,131.258752104064,130.328311190925,"all_big"
"14",14,76.0048087374943,32.1228366980275,13.6175321861887,75.3995839906876,31.6263288488726,44.6725812521399,10.8999999999999,186.673831991718,35.3834092823557,7.97547275811077,55.5725812521398,43.3588820404664,108.127645435522,107.02591283956,"all_big"
"15",15,81.7906127285618,37.7582116805188,13.9510139586505,81.1879186653101,37.2793129812639,46.3182896036921,10.8999999999999,190.292780971878,37.2496940813684,8.2974648156285,57.2182896036919,45.5471588969969,119.548824409081,118.467231646574,"all_big"
"16",16,70.5001812453257,36.1371350997271,12.2865937053151,69.8530646164322,35.615853453796,32.1328921385274,10.9000000000001,159.895198017748,23.7346444561586,8.04061133897866,43.0328921385275,31.7752557951373,106.637316345053,105.468918070228,"all_big"
"17",17,69.2923323437713,30.9787509964577,12.1536775334493,68.6434658279409,30.4376166970875,31.3751583611627,10.8999999999999,158.215088902617,23.0046018555651,7.80983637681799,42.2751583611626,30.8144382323831,100.271083340229,99.0810825250284,"all_big"
"18",18,69.0798114515456,29.167691269836,12.0048381754768,68.4312993998042,28.6228660089291,30.4689667635274,10.9000000000001,156.27202916657,22.1758111565491,7.74748436648227,41.3689667635275,29.9232955230314,98.2475027213817,97.0541654087333,"all_big"
"19",19,70.3315467917706,28.3698392136246,12.3230415652374,69.6971574251953,27.8334099167759,33.436955409697,10.8999999999999,162.620852763725,25.0197387276131,7.75678614282104,44.3369554096969,32.7765248704342,98.7013860053952,97.5305673419712,"all_big"
"20",20,70.6499830041081,28.0095371142476,12.1488434110965,70.0156231344005,27.4738682054156,32.2311025118046,10.8999999999999,160.064131728812,23.9239513336156,7.75483896282312,43.1311025118045,31.6787902964387,98.6595201183557,97.4894913398161,"all_big"
"21",21,82.4072684342696,27.4139964755733,16.8954727469259,81.8411748338055,26.9072278750274,73.2030303314775,10.9,247.545558426649,62.4665851785613,7.7209262190846,84.1030303314775,70.1875113976459,109.821264909843,108.748402708833,"all_small"
"22",22,82.4725785717669,27.2495694251694,16.9472497177687,81.9072122552074,26.7425630365249,73.7119447534249,10.8999999999999,248.630319146114,62.9500347894118,7.71225439759895,84.6119447534249,70.6622891870108,109.722147996936,108.649775291732,"all_small"
"23",23,82.530642417427,27.0960205097634,16.992789176919,81.9659086027503,26.5887415247395,74.1598813233811,10.8999999999999,249.585015731206,63.375547760903,7.70389355723412,85.0598813233811,71.0794413181371,109.62666292719,108.55465012749,"all_small"
"24",24,81.9043195147128,27.0028916043249,16.9136628916432,81.3386990766322,26.4942324667101,73.4611637786125,10.9000000000001,248.087645742523,62.7090060841919,7.69042005494452,84.3611637786126,70.3994261391364,108.907211119038,107.832931543342,"all_small"
"25",25,81.9683893518573,26.8494933692731,16.9658479216527,81.4034968367467,26.3406698854092,73.9744449902095,10.9000000000001,249.181834156879,63.1965576956302,7.68252691151487,84.8744449902096,70.8790846071451,108.81788272113,107.744166722156,"all_small"
"26",26,82.0253035405588,26.7063112643237,17.0117355987304,81.4610440831679,26.197284036203,74.4261386311754,10.9000000000001,250.144650704068,63.6256024221365,7.67490125854509,85.3261386311754,71.3005036806816,108.731614804882,107.658328119371,"all_small"
"27",27,81.1334938739274,26.2561060771962,16.9525061899179,80.5686643857012,25.7437244194956,73.959983306044,10.9000000000001,249.137546657847,63.1766775956053,7.63243126377006,84.8599833060441,70.8091088593754,107.389599951124,106.312388805197,"all_small"
"28",28,81.1952156418374,26.1228217499579,17.0053941751227,80.6311156050084,25.6104088930634,74.4809194061304,10.9000000000001,250.248268408578,63.6714389984608,7.62596714020212,85.3809194061305,71.2974061386629,107.318037391795,106.241524498072,"all_small"
"29",29,81.2499616147975,25.9985246603876,17.0518801582134,80.686495969341,25.4860327309688,74.9391880187488,10.9000000000001,251.225301634659,64.1066813625317,7.61968871217646,85.8391880187489,71.7263700747082,107.248486275185,106.17252870031,"all_small"
"30",30,75.2935596577091,27.1474005736007,16.3527941293764,74.7025607827641,26.6180830360022,66.9731294632465,10.9,234.187316042865,56.1134309479569,7.56390940791066,77.8731294632465,63.6773403558675,102.44096023131,101.320643818766,"all_small"
"31",31,75.3422775213025,26.9916575585649,16.3978520086008,74.751973757979,26.462098964961,67.4018946638449,10.8999999999999,235.101000808775,56.5190565197222,7.55554758349912,78.3018946638449,64.0746041032213,102.333935079867,101.21407272294,"all_small"
"32",32,75.3857576172459,26.8456197434602,16.4375063797486,74.7960590182168,26.3157849795248,67.7794337713444,10.8999999999999,235.90543480174,56.8762059785156,7.54744407126773,78.6794337713443,64.4236500497834,102.231377360706,101.111843997742,"all_small"
"33",33,74.9086559348395,26.7540874293647,16.3786010183717,74.3182578427902,26.2230626035371,67.2775279767078,10.8999999999999,234.829356415107,56.3996640930357,7.53515339580016,78.1775279767078,63.9348174888358,101.662743364204,100.541320446327,"all_small"
"34",34,74.956635075132,26.6086108714161,16.4241130863229,74.366934018153,26.0774153195946,67.7109492679901,10.8999999999999,235.753082490747,56.8096736379914,7.5275388021098,78.6109492679901,64.3372124401012,101.565245946548,100.444349337748,"all_small"
"35",35,74.9994165422774,26.4722580287102,16.464158415261,74.4103223497194,25.9408524174461,68.0925226869695,10.9000000000001,236.5662247632,57.1706247587336,7.52014262379715,78.9925226869696,64.6907673825308,101.471674570988,100.351174767166,"all_small"
"36",36,74.3153005539942,26.0384811529411,16.4280777441565,73.7258906478485,25.5040444179883,67.8346326004356,10.9,236.005515103593,56.9223567250046,7.48023042965392,78.7346326004356,64.4025871546586,100.353781706935,99.2299350658368,"all_small"
"37",37,74.3617979542313,25.9117976080682,16.4743613933016,73.7730887589376,25.3773179964556,68.276067586726,10.9000000000001,236.946533720987,57.3399261778002,7.47399097911324,79.1760675867261,64.8139171569135,100.2735955623,99.1504067553932,"all_small"
"38",38,74.4031896361743,25.7931517639291,16.5150690500704,73.8150905544079,25.2585821295274,68.6645708182525,10.9000000000001,237.77464420507,57.7074207184628,7.46789462070822,79.5645708182526,65.175315339171,100.196341400103,99.0736726839352,"all_small"
"39",39,70.5384076221787,26.7132294265247,16.0304062272116,69.9291640446635,26.1649843407134,63.1522602548489,10.9000000000001,225.988669438667,52.1766250550456,7.41742197819916,74.052260254849,59.5940470332447,97.2516370487034,96.0941483853769,"all_small"
"40",40,70.5761496354611,26.5671129336129,16.0712350963228,69.9675689641386,26.0186411081482,63.5315984986918,10.8999999999999,226.796893077963,52.534245916614,7.40945948367528,74.4315984986917,59.9437054002893,97.143262569074,95.9862100722868,"all_small"
"41",41,70.6099625541547,26.4296733151598,16.1071835282633,70.001959479038,25.8809385732651,63.8657162034196,10.8999999999999,227.50868107132,52.8492193307969,7.4017072230178,74.7657162034195,60.2509265538147,97.0396358693145,95.8828980523031,"all_small"
"42",42,70.2193629339821,26.3428914948014,16.0602317314262,69.6107673282196,25.7931099068108,63.4736782267988,10.9000000000001,226.667843025142,52.4780446337842,7.39052377197731,74.3736782267989,59.8685684057616,96.5622544287834,95.4038772350304,"all_small"
"43",43,70.2565961340061,26.2063356631161,16.101529304781,69.648666096459,25.6563945077098,63.8576524460348,10.8999999999999,227.486059409534,52.8400267572514,7.38328160474734,74.7576524460347,60.2233083619987,96.4629317971222,95.3050606041688,"all_small"
"44",44,70.2899193273167,26.0779370019778,16.1378830930714,69.6825692493369,25.527796188076,64.1958022518314,10.8999999999999,228.206545826947,53.1587965440751,7.37621232762764,75.0958022518313,60.5350088717027,96.3678563292945,95.2103654374129,"all_small"
"45",45,69.7251528889657,25.6678787439738,16.1152848059605,69.1176182115614,25.1149872074863,64.0493692451684,10.9,227.884945008214,53.0167889262807,7.33892571564364,74.9493692451684,60.3557146419243,95.3930316329396,94.2326054190477,"all_small"
"46",46,69.7613173321985,25.5488589405358,16.1573763958337,69.1544531246978,24.995930108377,64.4412812583493,10.9,228.720281963521,53.3862510194826,7.33301023730453,75.3412812583493,60.7192612567871,95.3101762727342,94.1503832330748,"all_small"
"47",47,69.7936254161159,25.437022761993,16.1944151018682,69.1873455203789,24.8840092890364,64.7863217167526,10.9,229.455643934435,53.7115201654484,7.32719710252505,75.6863217167526,61.0387172679734,95.2306481781089,94.0713548094154,"all_small"
"48",48,77.7198329874549,32.8554958110561,14.4274912004391,77.0968062893833,32.3311046396394,49.0163833843307,10.8999999999999,195.962695946142,39.2686565476644,7.88236023323084,59.9163833843306,47.1510167808952,110.575328798511,109.427910929023,"some_big"
"49",49,96.0467160099533,42.1080419218984,13.9027663941592,95.4413730542636,41.6370898274518,44.4084903264105,10.8999999999625,186.404798202565,35.713916965657,8.51213985006266,55.308490326373,44.2260568157197,138.154757931852,137.078462881715,"some_big"
"50",50,73.7994344237528,27.3380471019829,16.3877809552005,73.1796817116436,26.7706631678972,64.332922652537,10.8999999999999,228.543080817366,53.3403002597072,7.40619526483237,75.2329226525368,60.7464955245396,101.137481525736,99.9503448795407,"all_small"
"51",51,70.2242953325709,30.9744894553592,14.8607701653529,69.5445021823901,30.3681866662166,48.297266140041,10.9000000000001,194.34338048344,37.8894340782586,7.41065164752778,59.1972661400411,45.3000857257864,101.19878478793,99.9126888486067,"some_big"
"52",52,65.6264840403276,24.8828729360616,16.5815194999027,64.9324961801213,24.2009434384225,59.3366397601629,10.9,217.786480847786,47.7203532281924,6.73233957696652,70.2366397601629,54.452692805159,90.5093569763892,89.1334396185438,"all_small"
"53",53,67.7139460528057,40.8286573137081,12.3559448187137,66.892996179913,40.1505486928234,24.2611286912966,10.8999999997147,143.164398980594,15.1245897556221,7.59451849041613,35.1611286910113,22.7191082460382,108.542603366514,107.043544872736,"all_big"
"54",54,67.611363117473,41.2409748863915,12.4449185533167,66.7926695374839,40.5647204275454,24.8607697685628,10.8999999993852,144.442045477832,15.6840424970757,7.61268275427655,35.7607697679479,23.2967252513523,108.852338003865,107.357389965029,"all_big"
"55",55,69.3354876894515,37.3986640761376,12.5667494166591,68.5281102376518,36.7157130782381,26.0850711447143,10.900000000007,147.043863453212,16.8440836164207,7.47285165923184,36.9850711447213,24.3169352756525,106.734151765589,105.24382331589,"all_big"
"56",56,69.6678841070062,34.6766093144901,12.6379601583575,68.8652770997357,33.9834869107658,26.7270755633452,10.8999999999999,148.38569091002,17.4551978384693,7.34575041073566,37.6270755633451,24.8009482492049,104.344493421496,102.848764010502,"all_big"
"57",57,68.8375670752832,30.0708688969298,12.7446730446597,68.0469765588177,29.3612757237976,27.9314316793572,10.9000000000001,150.891477156163,18.6373175294456,7.1002890307335,38.8314316793573,25.7376065601791,98.9084359722129,97.4082522826153,"all_big"
"58",58,71.0669339188705,26.0844817249999,16.8579550917294,70.3861923793441,25.4140959019877,61.9075134123784,10.9000000000001,223.332404401169,50.5224081707385,6.90481972707979,72.8075134123785,57.4272278978183,97.1514156438704,95.8002882813317,"all_small"
"59",59,71.0934194332844,25.9354946427429,16.8978214440729,70.4136508542688,25.2650423194243,62.2776253820471,10.9,224.120753777356,50.8733152714094,6.8963680125412,73.1776253820472,57.7696832839506,97.0289140760273,95.6786931736931,"all_small"
"60",60,71.1179723716831,25.7942209713551,16.9332143056602,70.4390568034346,25.1236267946115,62.6061053532215,10.9,224.82033956909,51.1847032134157,6.88796691096628,73.5061053532215,58.072670124382,96.9121933430382,95.5626835980461,"all_small"
"61",61,70.5919060012271,25.7332493249557,16.8626333079473,69.9122489530855,25.0620162949198,62.0675729648836,10.9,223.66591607238,50.6768828664744,6.87926726830895,72.9675729648836,57.5561501347834,96.3251553261828,94.9742652480053,"all_small"
"62",62,70.6187443942725,25.5932795255418,16.9029373139546,69.9400616924292,24.9220553929306,62.4416556567447,10.9,224.462841780636,51.031477050267,6.87160624408151,73.3416556567446,57.9030832943486,96.2120239198143,94.8621170853598,"all_small"
"63",63,70.643541360436,25.460584315675,16.9387060699977,69.965712882914,24.7892899791728,62.773573798718,10.8999999999999,225.169861332406,51.3460604233388,6.86396019600594,73.6735737987178,58.2100206193448,96.104125676111,94.7550028620867,"all_small"
"64",64,69.8586146425529,25.073923486124,16.879797001144,69.18077502849,24.4004705019663,62.4017162278962,10.9000000000001,224.365383287544,50.9960717058488,6.82731802938446,73.3017162278963,57.8233897352333,94.9325381286769,93.5812455304563,"all_small"
"65",65,69.8856383484629,24.9508136853426,16.9208361205321,69.208776353333,24.2775095976877,62.7826704187852,10.9000000000001,225.177160302673,51.3570733010516,6.82113187521586,73.6826704187853,58.1782051762675,94.8364520338055,93.4862859510206,"all_small"
"66",66,69.9104841452969,24.8341384683294,16.9572344155249,69.2344792400703,24.160896930435,63.1205277607147,10.9000000000001,225.897030677893,51.67720042141,6.81489158306048,74.0205277607148,58.4920920044705,94.7446226136262,93.3953761705053,"all_small"
"67",67,66.1531442855766,25.7579266082801,16.5132020093661,65.4528705282518,25.0710105347863,58.209277197672,10.8999999999999,215.39496619814,46.6977626580219,6.77481810394764,69.1092771976719,53.4725807619695,91.9110708938567,90.5238810630381,"all_small"
"68",68,66.172577713227,25.6184175615382,16.5489664181747,65.4732351720144,24.9314561688423,58.5347278599453,10.8999999999999,216.08805971209,47.0054260346767,6.76696878242671,69.4347278599452,53.7723948171034,91.7909952747652,90.4046913408568,"all_small"
"69",69,66.1907698039672,25.4857001664234,16.5807343736273,65.4922443235921,24.7986179806747,58.8236701122085,10.9,216.703318069369,47.2785286760096,6.75911581377508,69.7236701122085,54.0376444897846,91.6764699703906,90.2908623042669,"all_small"
"70",70,65.7714100618003,25.4245905441028,16.5250631218908,65.0723228498566,24.7369945096176,58.4101321148629,10.8999999999999,215.816551642137,46.8907397894937,6.75124578521909,69.3101321148628,53.6419855747128,91.1960006059031,89.8093173594742,"all_small"
"71",71,65.7912564897987,25.2934795890296,16.5612787204362,65.0931027200931,24.6059091428984,58.7395945163584,10.9,216.518302599085,47.2021337726072,6.74414545052518,69.6395945163583,53.9462792231323,91.0847360788283,89.6990118629915,"all_small"
"72",72,65.8097583406875,25.1687725608626,16.5934368354575,65.1124236114598,24.481148837787,59.0320309050156,10.9000000000001,217.141108374573,47.478488928235,6.73700911002451,69.9320309050157,54.2154980382595,90.97853090155,89.5935724492469,"all_small"
"73",73,65.1788734780535,24.7989084455268,16.5524788696888,64.4817595281181,24.1094137646037,58.7983356293381,10.9,216.632978376092,47.260877420845,6.70307560825274,69.6983356293381,53.9639530290978,89.9777819235803,88.5911732927218,"all_small"
"74",74,65.1990802946372,24.6835194727158,16.5894525758814,64.5029044643401,23.9941822162769,59.134700284079,10.9000000000001,217.349635117062,47.5787127111458,6.69737449138467,70.0347002840792,54.2760872025304,89.882599767353,88.4970866806171,"all_small"
"75",75,65.2178059595146,24.5737896188284,16.6222644497172,64.5224533191594,23.884524354468,59.4331371669304,10.9000000000001,217.985412463501,47.8606738806702,6.69157442401232,70.3331371669305,54.5522483046825,89.7915955783431,88.4069776736274,"all_small"
"76",76,61.3942738825814,28.9248886161997,15.1051043200654,60.6522383788685,28.2268435145342,45.8589981261665,10.9000000000001,189.039841242828,34.8887546107625,6.86564829363249,56.7589981261667,41.754402904395,90.3191624987811,88.8790818934026,"some_big"
"77",77,62.7443548192222,28.030504651869,15.7492272563649,62.0142365528296,27.3324376789057,50.9066683001813,10.9000000000001,199.809415864628,39.5759226487447,6.80800988862511,61.8066683001814,46.3839325373698,90.7748594710912,89.3466742317353,"all_small"
"78",78,63.6609100595028,24.7706463961243,16.4810573103564,62.9487448836167,24.0660301591871,57.2062098658924,10.9,213.22301782967,45.4929137249191,6.60513109925261,68.1062098658924,52.0980448241717,88.4315564556271,87.0147750428037,"all_small"
"79",79,62.6815599667632,25.3258541547146,16.2982446562031,61.9668146922613,24.6245129946536,55.7854855418119,10.9,210.188641494794,44.1644409919648,6.64932386516036,66.685485541812,50.8137648571251,88.0074141214778,86.5913276869149,"all_small"
"80",80,62.6960172945635,25.1958582724334,16.3312820786672,61.9821647758497,24.4945011807107,56.0812660005124,10.9000000000001,210.818485748726,44.4433266146289,6.64207228000692,66.9812660005124,51.0853988946358,87.891875566997,86.4766659565604,"all_small"
"81",81,56.9194292103223,25.3293322283833,12.9424076256931,56.1355432059728,24.6008421902234,29.8991709908245,10.9000000000001,154.927157717718,20.1525370812307,6.64889887940658,40.7991709908245,26.8014359606373,82.2487614387056,80.7363853961962,"all_big"
"82",82,62.7097141391803,25.0718637273844,16.360638468467,61.9966454650516,24.3704148016575,56.3439356295851,10.9000000000001,211.377739934265,44.6909470541108,6.63477101138262,67.2439356295852,51.3257180654934,87.7815778665646,86.367060266709,"all_small"
"83",83,62.3575238578694,25.0130647219944,16.3146405358801,61.6439987942613,24.3111962670386,56.007439681039,10.9000000000001,210.655978941981,44.3765809455489,6.62772770224103,66.9074396810392,51.00430864779,87.3705885798638,85.9551950613,"all_small"
"84",84,62.3723937691605,24.8909002467145,16.3481311475698,61.6597642580914,24.1890827765386,56.3071679984654,10.9000000000001,211.294337944707,44.6591367226965,6.62119018861357,67.2071679984656,51.28032691131,87.263294015875,85.84884703463,"all_small"
"85",85,62.3864083633097,24.7743895776045,16.3778811807805,61.6745651993267,24.0725440767041,56.5732891703317,10.9000000000001,211.861042826692,44.9099691891085,6.61457304478692,67.4732891703318,51.5245422338954,87.1607979409142,85.7471092760308,"all_small"
"86",86,61.852226723762,24.4256020864471,16.3485689927585,61.1407254703285,23.7221351457453,56.4226265551186,10.9000000000001,211.531153890775,44.7709731555554,6.58332990078543,67.3226265551187,51.3543030563409,86.2778288102091,84.8628606160738,"all_small"
"87",87,61.8675088099221,24.3181050208483,16.3828231858298,61.1569087154953,23.6148135269166,56.7291399445659,10.8999999999999,212.184157270488,45.0598567111361,6.57812668677938,67.6291399445658,51.6379833979155,86.1856138307704,84.7717222424119,"all_small"
"88",88,61.8818066836601,24.2155931786152,16.4132348011161,61.1719979409385,23.5123920893598,57.0011826697386,10.8999999999999,212.763654873446,45.3162179022062,6.57278557195912,67.9011826697385,51.8890034741653,86.0973998622753,84.6843900302984,"all_small"
"89",89,57.6084161566833,23.4523768464776,16.2117905702179,56.878274715342,22.7257768715809,54.2124383789384,10.9,206.768803799049,42.3245609693258,6.35775796725156,65.1124383789383,48.6823189365774,81.0607930031609,79.6040515869229,"all_small"
"90",90,51.6571711488715,22.780916647886,13.266422534154,50.8558637063805,22.0115589483364,31.0139354631897,10.9000000000001,157.239240006212,20.6893551978877,6.15599292234007,41.9139354631898,26.8453481202278,74.4380877967576,72.8674226547169,"all_big"
"91",91,70.3571498751921,36.2388922288081,14.3389793862995,69.5750894328194,35.5349851928702,38.0375335200053,10.8999999999959,172.512955208809,27.7223856474204,7.2455992233014,48.9375335200011,34.9679848707218,106.596042104,105.11007462569,"all_big"
"92",92,60.7448616865802,26.7603043356191,14.8568163102345,59.9172661305159,25.937878918148,38.8086770534113,10.9000000000001,173.979668296452,27.7384323737576,6.24697324513194,49.7086770534114,33.9854056188895,87.5051660221993,85.8551450486639,"all_big"
"93",93,73.1317319559656,33.7386515156727,15.5492234982497,72.314479047244,32.9426369270181,43.1186934964515,10.9000000000034,183.359044454691,32.0968035097129,6.77353930083661,54.018693496455,38.8703428105496,106.870383471638,105.257115974262,"all_big"
"94",94,66.3210823131931,32.0999853035384,15.2672676285927,65.5055159120411,31.3034490769761,41.5840084374407,10.8999999999999,179.999294333714,30.7510916250507,6.70829647901016,52.4840084374406,37.4593881040609,98.4210676167314,96.8089649890173,"all_big"
"95",95,64.1002125302653,24.689480841344,17.0252049471049,63.3296417862813,23.8769953368141,55.5977392925764,10.8999999999999,209.796379557901,43.7394912568938,6.1984862760911,66.4977392925764,49.9379775329849,88.7896933716093,87.2066371230954,"all_small"
"96",96,64.1004703027734,24.5595184327199,17.0572265940264,63.3310169127593,23.7471969505096,55.8881134342886,10.8999999999999,210.414508276001,44.0147482311843,6.19111208137352,66.7881134342885,50.2058603125578,88.6599887354932,87.0782138632689,"all_small"
"97",97,64.1020973800375,24.4346117259743,17.0859041054127,63.3336300699612,23.62234088073,56.1477277003141,10.9,210.967078954188,44.2607714109994,6.18351553972149,67.0477277003141,50.4442869507209,88.5367091060117,86.9559709506913,"all_small"
"98",98,63.6421998006465,24.3948161198293,17.0217729309695,62.8731177562848,23.5825592791776,55.7027035871505,10.8999999999999,210.012936963973,43.844346408976,6.17872921317274,66.6027035871505,50.0230756221488,88.0370159204758,86.4556770354624,"all_small"
"99",99,63.6437832592621,24.2722172987997,17.054272606981,62.8758193756476,23.4601936576844,55.9967833883384,10.8999999999999,210.639068105305,44.1229969215032,6.17210360058511,66.8967833883384,50.2951005220884,87.9160005580618,86.336013033332,"all_small"
