"","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10"
"100",0,0.15,0.1,0.45,0.6,1,1,1,1,1
"101",0,0.15,0.1,0.55,0.5,1,1,1,1,1
"102",0,0.15,0.1,0.55,0.55,1,1,1,1,1
"103",0,0.15,0.1,0.55,0.6,1,1,1,1,1
"104",0,0.15,0.15,0.4,0.5,1,1,1,1,1
"105",0,0.15,0.15,0.4,0.55,1,1,1,1,1
"106",0,0.15,0.15,0.4,0.6,1,1,1,1,1
"107",0,0.15,0.15,0.45,0.5,1,1,1,1,1
"108",0,0.15,0.15,0.45,0.55,1,1,1,1,1
"109",0,0.15,0.15,0.45,0.6,1,1,1,1,1
"110",0,0.15,0.15,0.55,0.5,1,1,1,1,1
"111",0,0.15,0.15,0.55,0.55,1,1,1,1,1
"112",0,0.15,0.15,0.55,0.6,1,1,1,1,1
"113",0,0.15,0.2,0.4,0.5,1,1,1,1,1
"114",0,0.15,0.2,0.4,0.55,1,1,1,1,1
"115",0,0.15,0.2,0.4,0.6,1,1,1,1,1
"116",0,0.15,0.2,0.45,0.5,1,1,1,1,1
"117",0,0.15,0.2,0.45,0.55,1,1,1,1,1
"118",0,0.15,0.2,0.45,0.6,1,1,1,1,1
"119",0,0.15,0.2,0.55,0.5,1,1,1,1,1
"120",0,0.15,0.2,0.55,0.55,1,1,1,1,1
"121",0,0.15,0.2,0.55,0.6,1,1,1,1,1
"122",0,0.189,0.197,0.146,0.559,0.383,1,1,1,0.592
"123",0,0.191,0.069,0.059,0.125,0.308,0.176,1,1,0.5
"124",0,0.2,0.2,0.2,0.2,1,1,1,1,1
"125",0,0.2,0.4,0.6,0.8,1,1,1,1,1
"126",0,0.213,0.202,0.354,1,1,1,1,1,1
"127",0,0.3,0.1,0.1,0.15,0.2,0.2,0.2,0.2,0
"128",0,0.4,0.2,0.05,0.2,0.2,0.2,0.2,1,0
"129",0,0.6,0.1,0.4,0.5,1,1,1,1,1
"130",0,0.6,0.1,0.6,0.6,0.6,1,1,1,1
"131",0,0.755,0.681,1,1,1,1,1,1,1
"132",0.001,0.159,0.114,0.227,0.08,0.218,1,1,1,0.574
"133",0.005,0.113,0.084,0.103,0.079,0.131,0.187,0.004,1,0.5
"134",0.007,0.158,0.172,0.373,0.454,1,1,1,1,1
"135",0.01,0.148,0.178,0.112,0.235,1,0.335,1,1,0.589
"136",0.04,0.091,0.129,0.034,0.368,0.456,0.113,1,1,0.5
"137",0.05,0.05,0.1,0.4,0.5,1,1,1,1,1
"138",0.05,0.05,0.1,0.4,0.55,1,1,1,1,1
"139",0.05,0.05,0.1,0.4,0.6,1,1,1,1,1
"140",0.05,0.05,0.1,0.45,0.5,1,1,1,1,1
"141",0.05,0.05,0.1,0.45,0.55,1,1,1,1,1
"142",0.05,0.05,0.1,0.45,0.6,1,1,1,1,1
"143",0.05,0.05,0.1,0.55,0.5,1,1,1,1,1
"144",0.05,0.05,0.1,0.55,0.55,1,1,1,1,1
"145",0.05,0.05,0.1,0.55,0.6,1,1,1,1,1
"146",0.05,0.05,0.15,0.4,0.5,1,1,1,1,1
"147",0.05,0.05,0.15,0.4,0.55,1,1,1,1,1
"148",0.05,0.05,0.15,0.4,0.6,1,1,1,1,1
"149",0.05,0.05,0.15,0.45,0.5,1,1,1,1,1
"150",0.05,0.05,0.15,0.45,0.55,1,1,1,1,1
"151",0.05,0.05,0.15,0.45,0.6,1,1,1,1,1
"152",0.05,0.05,0.15,0.45,0.75,1,1,1,1,1
"153",0.05,0.05,0.15,0.55,0.5,1,1,1,1,1
"154",0.05,0.05,0.15,0.55,0.55,1,1,1,1,1
"155",0.05,0.05,0.15,0.55,0.6,1,1,1,1,1
"156",0.05,0.05,0.2,0.4,0.5,1,1,1,1,1
"157",0.05,0.05,0.2,0.4,0.55,1,1,1,1,1
"158",0.05,0.05,0.2,0.4,0.6,1,1,1,1,1
"159",0.05,0.05,0.2,0.45,0.5,1,1,1,1,1
"160",0.05,0.05,0.2,0.45,0.55,1,1,1,1,1
"161",0.05,0.05,0.2,0.45,0.6,1,1,1,1,1
"162",0.05,0.05,0.2,0.55,0.5,1,1,1,1,1
"163",0.05,0.05,0.2,0.55,0.55,1,1,1,1,1
"164",0.05,0.05,0.2,0.55,0.6,1,1,1,1,1
"165",0.05,0.05,0.25,0.45,0.65,1,1,0.5,0.5,0.5
"166",0.05,0.1,0.1,0.4,0.5,1,1,1,1,1
"167",0.05,0.1,0.1,0.4,0.55,1,1,1,1,1
"168",0.05,0.1,0.1,0.4,0.6,1,1,1,1,1
