"","Site","method","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10"
"1","Pasi_Gusung_North_nonreserve2","mean",100,78.7073763937863,79.7623220152211,64.5550648680651,0,0,0,0,0,0
"2","Pasi_Gusung_North_nonreserve2","median",100,90.5112652589417,82.5778617750791,65.4197735182155,0,0,0,0,0,0
"3","Pasi_Gusung_North_nonreserve2","mode",100,30.4404358649347,63.2672726778006,52.3961461979091,0,0,0,0,0,0
"4","Pasi_Gusung_North_nonreserve2","max",100,30.4404358649347,63.2672726778006,52.3961461979091,0,0,0,0,0,0
"5","Pasi_Gusung_North_nonreserve2","min",100,96.3579788124507,90.6389003151873,74.9845662379202,0,0,0,0,0,0
"6","Pasi_Gusung_North_nonreserve3","mean",99.8850746604236,84.1030933387487,88.6399986631917,77.3215159421256,92.0048734047221,78.2208276503838,0,0,0,42.5643911815873
"7","Pasi_Gusung_North_nonreserve3","median",100,95.0972050551404,91.6562791752062,78.8880219806466,92.2715250214709,78.2208276503838,0,0,0,42.5643911815873
"8","Pasi_Gusung_North_nonreserve3","mode",100,38.5084712894888,74.9745641615231,63.2489817017964,88.8813873529031,75.6671892705467,0,0,0,0
"9","Pasi_Gusung_North_nonreserve3","max",98.2761199063543,38.5084712894888,74.9745641615231,63.2489817017964,88.8813873529031,75.6671892705467,0,0,0,0
"10","Pasi_Gusung_North_nonreserve3","min",100,97.635306710454,96.1175702856493,88.2610381054129,94.8617078397923,80.7744660302209,0,0,0,85.1287823631746
"11","Pasi_Gusung_North_reserve2","mean",100,85.6864684774422,92.0277671480138,72.9361194611144,87.2596279203357,86.470384535142,0,0,0,0
"12","Pasi_Gusung_North_reserve2","median",100,96.6863850596457,94.0612091352623,74.2472755551872,87.5110209801817,86.470384535142,0,0,0,0
"13","Pasi_Gusung_North_reserve2","mode",100,37.7538703938228,82.6029609787717,59.8089435629514,84.0349538122839,85.1820257190925,0,0,0,0
"14","Pasi_Gusung_North_reserve2","max",100,37.7538703938228,82.6029609787717,59.8089435629514,84.0349538122839,85.1820257190925,0,0,0,0
"15","Pasi_Gusung_North_reserve2","min",100,98.2518971965384,97.2058766037162,83.4409831711319,90.2329089685415,87.7587433511914,0,0,0,0
"16","Pasi_Gusung_North_reserve3","mean",100,89.6514988746097,87.7196877482641,92.0573832024771,77.4336970521939,94.0959674916695,0,0,0,0
"17","Pasi_Gusung_North_reserve3","median",100,97.9325497912954,91.0624941733058,92.6301937048479,77.9535544714614,94.0959674916695,0,0,0,0
"18","Pasi_Gusung_North_reserve3","mode",100,50.3034937833347,71.9183308645434,86.9037280907928,71.9801744302347,93.0643639661322,0,0,0,0
"19","Pasi_Gusung_North_reserve3","max",100,50.3034937833347,71.9183308645434,86.9037280907928,71.9801744302347,93.0643639661322,0,0,0,0
"20","Pasi_Gusung_North_reserve3","min",100,98.7170722499616,96.6447995960496,96.0654173094196,82.3673622548855,95.1275710172068,0,0,0,0
"21","Pasi_Gusung_South_nonreserve1","mean",98.9561164883334,85.219335965626,82.2033169974538,88.8483788471724,76.5419677557779,0,66.5210832479507,0,0,41.1266131696079
"22","Pasi_Gusung_South_nonreserve1","median",100,94.932145304848,86.4278540639634,89.8340809608901,77.1946543518647,0,66.5210832479507,0,0,41.1266131696079
"23","Pasi_Gusung_South_nonreserve1","mode",100,44.449030331678,61.9566173803537,81.5503587724016,69.5565705202211,0,63.9071331212981,0,0,0
"24","Pasi_Gusung_South_nonreserve1","max",90.5869824630772,44.449030331678,61.9566173803537,81.5503587724016,69.5565705202211,0,63.9071331212981,0,0,0
"25","Pasi_Gusung_South_nonreserve1","min",100,97.2320203823703,94.0536633995706,94.1749946945076,82.8746783952478,0,69.1350333746032,0,0,82.2532263392157
"26","Pasi_Gusung_South_reserve1","mean",99.3104750787095,84.238838186625,82.851423469014,62.6666138998841,54.6164465391331,0,0,0,0,0
"27","Pasi_Gusung_South_reserve1","median",100,93.7304009489658,85.963356146005,63.7478675832176,55.0069331275075,0,0,0,0,0
"28","Pasi_Gusung_South_reserve1","mode",100,44.4723400261625,67.1294296270403,47.8084961528363,47.4031301282288,0,0,0,0,0
"29","Pasi_Gusung_South_reserve1","max",93.2421188967341,44.4723400261625,67.1294296270403,47.8084961528363,47.4031301282288,0,0,0,0,0
"30","Pasi_Gusung_South_reserve1","min",100,96.388816667293,92.3292039375406,75.3622242802648,61.4392763616631,0,0,0,0,0
"31","Selayar_Benteng_Sediment_Blasted","mean",85.7100424673985,27.9163303166365,31.9764246968158,0,0,0,0,0,0,0
"32","Selayar_Benteng_Sediment_Blasted","median",100,24.4904327895465,31.9307688274952,0,0,0,0,0,0,0
"33","Selayar_Benteng_Sediment_Blasted","mode",100,5.8111034791936,20.3129837508419,0,0,0,0,0,0,0
"34","Selayar_Benteng_Sediment_Blasted","max",48.4901081351559,5.8111034791936,20.3129837508419,0,0,0,0,0,0,0
"35","Selayar_Benteng_Sediment_Blasted","min",100,58.3046918677021,43.7340100807402,0,0,0,0,0,0,0
"36","Selayar_Benteng_Sediment_Blasted2","mean",54.4697627400395,45.183463696432,0,0,0,0,0,0,0,0
"37","Selayar_Benteng_Sediment_Blasted2","median",39.918343062072,44.2249026153358,0,0,0,0,0,0,0,0
"38","Selayar_Benteng_Sediment_Blasted2","mode",100,13.8935786283278,0,0,0,0,0,0,0,0
"39","Selayar_Benteng_Sediment_Blasted2","max",8.9841675782148,13.8935786283278,0,0,0,0,0,0,0,0
"40","Selayar_Benteng_Sediment_Blasted2","min",100,78.6331392087139,0,0,0,0,0,0,0,0
